Grand Prix,Driver,Car,Time,year
Monaco,Ayrton Senna,Lotus Honda,1:27.685,1987.0
Detroit,Ayrton Senna,Lotus Honda,1:40.464,1987.0
France,Nelson Piquet,Williams Honda,1:09.548,1987.0
Great Britain,Nigel Mansell,Williams Honda,1:09.832,1987.0
Germany,Nigel Mansell,Williams Honda,1:45.716,1987.0
Hungary,Nelson Piquet,Williams Honda,1:30.149,1987.0
Austria,Nigel Mansell,Williams Honda,1:28.318,1987.0
Italy,Ayrton Senna,Lotus Honda,1:26.796,1987.0
Portugal,Gerhard Berger,Ferrari,1:19.282,1987.0
Spain,Gerhard Berger,Ferrari,1:26.986,1987.0
Mexico,Nelson Piquet,Williams Honda,1:19.132,1987.0
Japan,Alain Prost,McLaren TAG,1:43.844,1987.0
Australia,Gerhard Berger,Ferrari,1:20.416,1987.0
Brazil,Gerhard Berger,Ferrari,1:32.943,1988.0
San Marino,Alain Prost,McLaren Honda,1:29.685,1988.0
Monaco,Ayrton Senna,McLaren Honda,1:26.321,1988.0
Mexico,Alain Prost,McLaren Honda,1:18.608,1988.0
Canada,Ayrton Senna,McLaren Honda,1:24.973,1988.0
Detroit,Alain Prost,McLaren Honda,1:44.836,1988.0
France,Alain Prost,McLaren Honda,1:11.737,1988.0
Great Britain,Nigel Mansell,Williams Judd,1:23.308,1988.0
Germany,Alessandro Nannini,Benetton Ford,2:03.032,1988.0
Hungary,Alain Prost,McLaren Honda,1:30.639,1988.0
Belgium,Gerhard Berger,Ferrari,2:00.772,1988.0
Italy,Michele Alboreto,Ferrari,1:29.070,1988.0
Portugal,Gerhard Berger,Ferrari,1:21.961,1988.0
Spain,Alain Prost,McLaren Honda,1:27.845,1988.0
Japan,Ayrton Senna,McLaren Honda,1:46.326,1988.0
Australia,Alain Prost,McLaren Honda,1:21.216,1988.0
Brazil,Riccardo Patrese,Williams Renault,1:32.507,1989.0
San Marino,Alain Prost,McLaren Honda,1:26.795,1989.0
Monaco,Alain Prost,McLaren Honda,1:25.501,1989.0
Mexico,Nigel Mansell,Ferrari,1:20.420,1989.0
United States,Ayrton Senna,McLaren Honda,1:33.969,1989.0
Canada,Jonathan  Palmer,Tyrrell Ford,1:31.925,1989.0
France,Mauricio Gugelmin,March Judd,1:12.090,1989.0
Great Britain,Nigel Mansell,Ferrari,1:12.017,1989.0
Germany,Ayrton Senna,McLaren Honda,1:45.884,1989.0
Hungary,Nigel Mansell,Ferrari,1:22.637,1989.0
Belgium,Alain Prost,McLaren Honda,2:11.571,1989.0
Italy,Alain Prost,McLaren Honda,1:28.107,1989.0
Portugal,Gerhard Berger,Ferrari,1:18.986,1989.0
Spain,Ayrton Senna,McLaren Honda,1:25.779,1989.0
Japan,Alain Prost,McLaren Honda,1:43.506,1989.0
Australia,Satoru Nakajima,Lotus Judd,1:38.480,1989.0
United States,Gerhard Berger,McLaren Honda,1:31.050,1990.0
Brazil,Gerhard Berger,McLaren Honda,1:19.899,1990.0
San Marino,Alessandro Nannini,Benetton Ford,1:27.156,1990.0
Monaco,Ayrton Senna,McLaren Honda,1:24.468,1990.0
Canada,Gerhard Berger,McLaren Honda,1:22.077,1990.0
Mexico,Alain Prost,Ferrari,1:17.958,1990.0
France,Nigel Mansell,Ferrari,1:08.012,1990.0
Great Britain,Nigel Mansell,Ferrari,1:11.291,1990.0
Germany,Thierry Boutsen,Williams Renault,1:45.602,1990.0
Hungary,Riccardo Patrese,Williams Renault,1:22.058,1990.0
Belgium,Alain Prost,Ferrari,1:55.087,1990.0
Italy,Ayrton Senna,McLaren Honda,1:26.254,1990.0
Portugal,Riccardo Patrese,Williams Renault,1:18.306,1990.0
Spain,Riccardo Patrese,Williams Renault,1:24.513,1990.0
Japan,Riccardo Patrese,Williams Renault,1:44.233,1990.0
Australia,Nigel Mansell,Ferrari,1:18.203,1990.0
United States,Jean Alesi,Ferrari,1:26.758,1991.0
Brazil,Nigel Mansell,Williams Renault,1:20.436,1991.0
San Marino,Gerhard Berger,McLaren Honda,1:26.531,1991.0
Monaco,Alain Prost,Ferrari,1:24.368,1991.0
Canada,Nigel Mansell,Williams Renault,1:22.385,1991.0
Mexico,Nigel Mansell,Williams Renault,1:16.788,1991.0
France,Nigel Mansell,Williams Renault,1:19.168,1991.0
Great Britain,Nigel Mansell,Williams Renault,1:26.379,1991.0
Germany,Riccardo Patrese,Williams Renault,1:43.569,1991.0
Hungary,Bertrand Gachot,Jordan Ford,1:21.547,1991.0
Belgium,Roberto Moreno,Benetton Ford,1:55.161,1991.0
Italy,Ayrton Senna,McLaren Honda,1:26.061,1991.0
Portugal,Nigel Mansell,Williams Renault,1:18.179,1991.0
Spain,Riccardo Patrese,Williams Renault,1:22.837,1991.0
Japan,Ayrton Senna,McLaren Honda,1:41.532,1991.0
Australia,Gerhard Berger,McLaren Honda,1:41.141,1991.0
South Africa,Nigel Mansell,Williams Renault,1:17.578,1992.0
Mexico,Gerhard Berger,McLaren Honda,1:17.711,1992.0
Brazil,Riccardo Patrese,Williams Renault,1:19.490,1992.0
Spain,Nigel Mansell,Williams Renault,1:42.503,1992.0
San Marino,Riccardo Patrese,Williams Renault,1:26.100,1992.0
Monaco,Nigel Mansell,Williams Renault,1:21.598,1992.0
Canada,Gerhard Berger,McLaren Honda,1:22.325,1992.0
France,Nigel Mansell,Williams Renault,1:17.070,1992.0
Great Britain,Nigel Mansell,Williams Renault,1:22.539,1992.0
Germany,Riccardo Patrese,Williams Renault,1:41.591,1992.0
Hungary,Nigel Mansell,Williams Renault,1:18.308,1992.0
Belgium,Michael Schumacher,Benetton Ford,1:53.791,1992.0
Italy,Nigel Mansell,Williams Renault,1:26.119,1992.0
Portugal,Ayrton Senna,McLaren Honda,1:16.272,1992.0
Japan,Nigel Mansell,Williams Renault,1:40.646,1992.0
Australia,Michael Schumacher,Benetton Ford,1:16.078,1992.0
South Africa,Alain Prost,Williams Renault,1:19.492,1993.0
Brazil,Michael Schumacher,Benetton Ford,1:20.024,1993.0
Europe,Ayrton Senna,McLaren Ford,1:18.029,1993.0
San Marino,Alain Prost,Williams Renault,1:26.128,1993.0
Spain,Michael Schumacher,Benetton Ford,1:20.989,1993.0
Monaco,Alain Prost,Williams Renault,1:23.604,1993.0
Canada,Michael Schumacher,Benetton Ford,1:21.500,1993.0
France,Michael Schumacher,Benetton Ford,1:19.256,1993.0
Great Britain,Damon Hill,Williams Renault,1:22.515,1993.0
Germany,Michael Schumacher,Benetton Ford,1:41.859,1993.0
Hungary,Alain Prost,Williams Renault,1:19.633,1993.0
Belgium,Alain Prost,Williams Renault,1:51.095,1993.0
Italy,Damon Hill,Williams Renault,1:23.575,1993.0
Portugal,Damon Hill,Williams Renault,1:14.859,1993.0
Japan,Alain Prost,Williams Renault,1:41.176,1993.0
Australia,Damon Hill,Williams Renault,1:15.381,1993.0
Brazil,Michael Schumacher,Benetton Ford,1:18.455,1994.0
Pacific,Michael Schumacher,Benetton Ford,1:14.023,1994.0
San Marino,Damon Hill,Williams Renault,1:24.335,1994.0
Monaco,Michael Schumacher,Benetton Ford,1:21.076,1994.0
Spain,Michael Schumacher,Benetton Ford,1:25.155,1994.0
Canada,Michael Schumacher,Benetton Ford,1:28.927,1994.0
France,Damon Hill,Williams Renault,1:19.678,1994.0
Great Britain,Damon Hill,Williams Renault,1:27.100,1994.0
Germany,David Coulthard,Williams Renault,1:46.211,1994.0
Hungary,Michael Schumacher,Benetton Ford,1:20.881,1994.0
Belgium,Damon Hill,Williams Renault,1:57.117,1994.0
Italy,Damon Hill,Williams Renault,1:25.930,1994.0
Portugal,David Coulthard,Williams Renault,1:22.446,1994.0
Europe,Michael Schumacher,Benetton Ford,1:25.040,1994.0
Japan,Damon Hill,Williams Renault,1:56.597,1994.0
Australia,Michael Schumacher,Benetton Ford,1:17.140,1994.0
Brazil,Michael Schumacher,Benetton Renault,1:20.921,1995.0
Argentina,Michael Schumacher,Benetton Renault,1:30.522,1995.0
San Marino,Gerhard Berger,Ferrari,1:29.568,1995.0
Spain,Damon Hill,Williams Renault,1:24.531,1995.0
Monaco,Jean Alesi,Ferrari,1:24.621,1995.0
Canada,Michael Schumacher,Benetton Renault,1:29.174,1995.0
France,Michael Schumacher,Benetton Renault,1:20.218,1995.0
Great Britain,Damon Hill,Williams Renault,1:29.752,1995.0
Germany,Michael Schumacher,Benetton Renault,1:48.824,1995.0
Hungary,Damon Hill,Williams Renault,1:20.247,1995.0
Belgium,David Coulthard,Williams Renault,1:53.412,1995.0
Italy,Gerhard Berger,Ferrari,1:26.419,1995.0
Portugal,David Coulthard,Williams Renault,1:23.220,1995.0
Europe,Michael Schumacher,Benetton Renault,1:21.180,1995.0
Pacific,Michael Schumacher,Benetton Renault,1:16.374,1995.0
Japan,Michael Schumacher,Benetton Renault,1:42.976,1995.0
Australia,Damon Hill,Williams Renault,1:17.943,1995.0
Australia,Jacques Villeneuve,Williams Renault,1:33.421,1996.0
Brazil,Damon Hill,Williams Renault,1:21.547,1996.0
Argentina,Jean Alesi,Benetton Renault,1:29.413,1996.0
Europe,Damon Hill,Williams Renault,1:21.363,1996.0
San Marino,Damon Hill,Williams Renault,1:28.931,1996.0
Monaco,Jean Alesi,Benetton Renault,1:25.205,1996.0
Spain,Michael Schumacher,Ferrari,1:45.517,1996.0
Canada,Jacques Villeneuve,Williams Renault,1:21.916,1996.0
France,Jacques Villeneuve,Williams Renault,1:18.610,1996.0
Great Britain,Jacques Villeneuve,Williams Renault,1:29.288,1996.0
Germany,Damon Hill,Williams Renault,1:46.504,1996.0
Hungary,Damon Hill,Williams Renault,1:20.093,1996.0
Belgium,Gerhard Berger,Benetton Renault,1:53.067,1996.0
Italy,Michael Schumacher,Ferrari,1:26.110,1996.0
Portugal,Jacques Villeneuve,Williams Renault,1:22.873,1996.0
Japan,Jacques Villeneuve,Williams Renault,1:44.043,1996.0
Australia,Heinz-Harald Frentzen,Williams Renault,1:30.585,1997.0
Brazil,Jacques Villeneuve,Williams Renault,1:18.397,1997.0
Argentina,Gerhard Berger,Benetton Renault,1:27.981,1997.0
San Marino,Heinz-Harald Frentzen,Williams Renault,1:25.531,1997.0
Monaco,Michael Schumacher,Ferrari,1:53.315,1997.0
Spain,Giancarlo Fisichella,Jordan Peugeot,1:22.242,1997.0
Canada,David Coulthard,McLaren Mercedes,1:19.635,1997.0
France,Michael Schumacher,Ferrari,1:17.910,1997.0
Great Britain,Michael Schumacher,Ferrari,1:24.475,1997.0
Germany,Gerhard Berger,Benetton Renault,1:45.747,1997.0
Hungary,Heinz-Harald Frentzen,Williams Renault,1:18.372,1997.0
Belgium,Jacques Villeneuve,Williams Renault,1:52.692,1997.0
Italy,Mika Hakkinen,McLaren Mercedes,1:24.808,1997.0
Austria,Jacques Villeneuve,Williams Renault,1:11.814,1997.0
Luxembourg,Heinz-Harald Frentzen,Williams Renault,1:18.805,1997.0
Japan,Heinz-Harald Frentzen,Williams Renault,1:38.942,1997.0
Europe,Heinz-Harald Frentzen,Williams Renault,1:23.135,1997.0
Australia,Mika Hakkinen,McLaren Mercedes,1:31.649,1998.0
Brazil,Mika Hakkinen,McLaren Mercedes,1:19.337,1998.0
Argentina,Alexander Wurz,Benetton Playlife,1:28.179,1998.0
San Marino,Michael Schumacher,Ferrari,1:29.345,1998.0
Spain,Mika Hakkinen,McLaren Mercedes,1:24.275,1998.0
Monaco,Mika Hakkinen,McLaren Mercedes,1:22.948,1998.0
Canada,Michael Schumacher,Ferrari,1:19.379,1998.0
France,David Coulthard,McLaren Mercedes,1:17.523,1998.0
Great Britain,Michael Schumacher,Ferrari,1:35.704,1998.0
Austria,David Coulthard,McLaren Mercedes,1:12.878,1998.0
Germany,David Coulthard,McLaren Mercedes,1:46.116,1998.0
Hungary,Michael Schumacher,Ferrari,1:19.286,1998.0
Belgium,Michael Schumacher,Ferrari,2:03.766,1998.0
Italy,Mika Hakkinen,McLaren Mercedes,1:25.139,1998.0
Luxembourg,Mika Hakkinen,McLaren Mercedes,1:20.450,1998.0
Japan,Michael Schumacher,Ferrari,1:40.190,1998.0
Australia,Michael Schumacher,Ferrari,1:32.112,1999.0
Brazil,Mika Hakkinen,McLaren Mercedes,1:18.448,1999.0
San Marino,Michael Schumacher,Ferrari,1:28.547,1999.0
Monaco,Mika Hakkinen,McLaren Mercedes,1:22.259,1999.0
Spain,Michael Schumacher,Ferrari,1:24.982,1999.0
Canada,Eddie Irvine,Ferrari,1:20.382,1999.0
France,David Coulthard,McLaren Mercedes,1:19.227,1999.0
Great Britain,Mika Hakkinen,McLaren Mercedes,1:28.309,1999.0
Austria,Mika Hakkinen,McLaren Mercedes,1:12.107,1999.0
Germany,David Coulthard,McLaren Mercedes,1:45.270,1999.0
Hungary,David Coulthard,McLaren Mercedes,1:20.699,1999.0
Belgium,Mika Hakkinen,McLaren Mercedes,1:53.955,1999.0
Italy,Ralf Schumacher,Williams Supertec,1:25.579,1999.0
Europe,Mika Hakkinen,McLaren Mercedes,1:21.282,1999.0
Malaysia,Heinz-Harald Frentzen,Jordan Mugen Honda,1:40.631,1999.0
Japan,Michael Schumacher,Ferrari,1:41.319,1999.0
Australia,Rubens Barrichello,Ferrari,1:31.481,2000.0
Brazil,Michael Schumacher,Ferrari,1:14.755,2000.0
San Marino,Mika Hakkinen,McLaren Mercedes,1:26.523,2000.0
Great Britain,Mika Hakkinen,McLaren Mercedes,1:26.217,2000.0
Spain,Mika Hakkinen,McLaren Mercedes,1:24.470,2000.0
Europe,Michael Schumacher,Ferrari,1:22.269,2000.0
Monaco,Mika Hakkinen,McLaren Mercedes,1:21.571,2000.0
Canada,Mika Hakkinen,McLaren Mercedes,1:19.049,2000.0
France,David Coulthard,McLaren Mercedes,1:19.479,2000.0
Austria,David Coulthard,McLaren Mercedes,1:11.783,2000.0
Germany,Rubens Barrichello,Ferrari,1:44.300,2000.0
Hungary,Mika Hakkinen,McLaren Mercedes,1:20.028,2000.0
Belgium,Rubens Barrichello,Ferrari,1:53.803,2000.0
Italy,Mika Hakkinen,McLaren Mercedes,1:25.595,2000.0
United States,David Coulthard,McLaren Mercedes,1:14.711,2000.0
Japan,Mika Hakkinen,McLaren Mercedes,1:39.189,2000.0
Malaysia,Mika Hakkinen,McLaren Mercedes,1:38.543,2000.0
Australia,Michael Schumacher,Ferrari,1:28.214,2001.0
Malaysia,Mika Hakkinen,McLaren Mercedes,1:40.962,2001.0
Brazil,Ralf Schumacher,Williams BMW,1:15.693,2001.0
San Marino,Ralf Schumacher,Williams BMW,1:25.524,2001.0
Spain,Michael Schumacher,Ferrari,1:21.151,2001.0
Austria,David Coulthard,McLaren Mercedes,1:10.843,2001.0
Monaco,David Coulthard,McLaren Mercedes,1:19.424,2001.0
Canada,Ralf Schumacher,Williams BMW,1:17.205,2001.0
Europe,Juan Pablo Montoya,Williams BMW,1:18.354,2001.0
France,David Coulthard,McLaren Mercedes,1:16.088,2001.0
Great Britain,Mika Hakkinen,McLaren Mercedes,1:23.405,2001.0
Germany,Juan Pablo Montoya,Williams BMW,1:41.808,2001.0
Hungary,Mika Hakkinen,McLaren Mercedes,1:16.723,2001.0
Belgium,Michael Schumacher,Ferrari,1:49.758,2001.0
Italy,Ralf Schumacher,Williams BMW,1:25.073,2001.0
United States,Juan Pablo Montoya,Williams BMW,1:14.448,2001.0
Japan,Ralf Schumacher,Williams BMW,1:36.944,2001.0
Australia,Kimi Rдikkцnen,McLaren Mercedes,1:28.541,2002.0
Malaysia,Juan Pablo Montoya,Williams BMW,1:38.049,2002.0
Brazil,Juan Pablo Montoya,Williams BMW,1:16.079,2002.0
San Marino,Rubens Barrichello,Ferrari,1:24.170,2002.0
Spain,Michael Schumacher,Ferrari,1:20.355,2002.0
Austria,Michael Schumacher,Ferrari,1:09.298,2002.0
Monaco,Rubens Barrichello,Ferrari,1:18.023,2002.0
Canada,Juan Pablo Montoya,Williams BMW,1:15.960,2002.0
Europe,Michael Schumacher,Ferrari,1:32.226,2002.0
Great Britain,Rubens Barrichello,Ferrari,1:23.083,2002.0
France,David Coulthard,McLaren Mercedes,1:15.045,2002.0
Germany,Michael Schumacher,Ferrari,1:16.462,2002.0
Hungary,Michael Schumacher,Ferrari,1:16.207,2002.0
Belgium,Michael Schumacher,Ferrari,1:47.176,2002.0
Italy,Rubens Barrichello,Ferrari,1:23.657,2002.0
United States,Rubens Barrichello,Ferrari,1:12.738,2002.0
Japan,Michael Schumacher,Ferrari,1:36.125,2002.0
Australia,Kimi Rдikkцnen,McLaren Mercedes,1:27.724,2003.0
Malaysia,Michael Schumacher,Ferrari,1:36.412,2003.0
Brazil,Rubens Barrichello,Ferrari,1:22.032,2003.0
San Marino,Michael Schumacher,Ferrari,1:22.491,2003.0
Spain,Rubens Barrichello,Ferrari,1:20.143,2003.0
Austria,Michael Schumacher,Ferrari,1:08.337,2003.0
Monaco,Kimi Rдikkцnen,McLaren Mercedes,1:14.545,2003.0
Canada,Fernando Alonso,Renault,1:16.040,2003.0
Europe,Kimi Rдikkцnen,McLaren Mercedes,1:32.621,2003.0
France,Juan Pablo Montoya,Williams BMW,1:15.512,2003.0
Great Britain,Rubens Barrichello,Ferrari,1:22.236,2003.0
Germany,Juan Pablo Montoya,Williams BMW,1:14.917,2003.0
Hungary,Juan Pablo Montoya,Williams BMW,1:22.095,2003.0
Italy,Michael Schumacher,Ferrari,1:21.832,2003.0
United States,Michael Schumacher,Ferrari,1:11.473,2003.0
Japan,Ralf Schumacher,Williams BMW,1:33.408,2003.0
Australia,Michael Schumacher,Ferrari,1:24.125,2004.0
Malaysia,Juan Pablo Montoya,Williams BMW,1:34.223,2004.0
Bahrain,Michael Schumacher,Ferrari,1:30.252,2004.0
San Marino,Michael Schumacher,Ferrari,1:20.411,2004.0
Spain,Michael Schumacher,Ferrari,1:17.450,2004.0
Monaco,Michael Schumacher,Ferrari,1:14.439,2004.0
Europe,Michael Schumacher,Ferrari,1:29.468,2004.0
Canada,Rubens Barrichello,Ferrari,1:13.622,2004.0
United States,Rubens Barrichello,Ferrari,1:10.399,2004.0
France,Michael Schumacher,Ferrari,1:15.377,2004.0
Great Britain,Michael Schumacher,Ferrari,1:18.739,2004.0
Germany,Kimi Rдikkцnen,McLaren Mercedes,1:13.780,2004.0
Hungary,Michael Schumacher,Ferrari,1:19.071,2004.0
Belgium,Kimi Rдikkцnen,McLaren Mercedes,1:45.108,2004.0
Italy,Rubens Barrichello,Ferrari,1:21.046,2004.0
China,Michael Schumacher,Ferrari,1:32.238,2004.0
Japan,Rubens Barrichello,Ferrari,1:32.730,2004.0
Brazil,Juan Pablo Montoya,Williams BMW,1:11.473,2004.0
Australia,Fernando Alonso,Renault,1:25.683,2005.0
Malaysia,Kimi Rдikkцnen,McLaren Mercedes,1:35.483,2005.0
Bahrain,Pedro de la Rosa,McLaren Mercedes,1:31.447,2005.0
San Marino,Michael Schumacher,Ferrari,1:21.858,2005.0
Spain,Giancarlo Fisichella,Renault,1:15.641,2005.0
Monaco,Michael Schumacher,Ferrari,1:15.842,2005.0
Europe,Fernando Alonso,Renault,1:30.711,2005.0
Canada,Kimi Rдikkцnen,McLaren Mercedes,1:14.384,2005.0
United States,Michael Schumacher,Ferrari,1:11.497,2005.0
France,Kimi Rдikkцnen,McLaren Mercedes,1:16.423,2005.0
Great Britain,Kimi Rдikkцnen,McLaren Mercedes,1:20.502,2005.0
Germany,Kimi Rдikkцnen,McLaren Mercedes,1:14.873,2005.0
Hungary,Kimi Rдikkцnen,McLaren Mercedes,1:21.219,2005.0
Turkey,Juan Pablo Montoya,McLaren Mercedes,1:24.770,2005.0
Italy,Kimi Rдikkцnen,McLaren Mercedes,1:21.504,2005.0
Belgium,Ralf Schumacher,Toyota,1:51.453,2005.0
Brazil,Kimi Rдikkцnen,McLaren Mercedes,1:12.268,2005.0
Japan,Kimi Rдikkцnen,McLaren Mercedes,1:31.540,2005.0
China,Kimi Rдikkцnen,McLaren Mercedes,1:33.242,2005.0
Bahrain,Nico Rosberg,Williams Cosworth,1:32.408,2006.0
Malaysia,Fernando Alonso,Renault,1:34.803,2006.0
Australia,Kimi Rдikkцnen,McLaren Mercedes,1:26.045,2006.0
San Marino,Fernando Alonso,Renault,1:24.569,2006.0
Europe,Michael Schumacher,Ferrari,1:32.099,2006.0
Spain,Felipe Massa,Ferrari,1:16.648,2006.0
Monaco,Michael Schumacher,Ferrari,1:15.143,2006.0
Great Britain,Fernando Alonso,Renault,1:21.599,2006.0
Canada,Kimi Rдikkцnen,McLaren Mercedes,1:15.841,2006.0
United States,Michael Schumacher,Ferrari,1:12.719,2006.0
France,Michael Schumacher,Ferrari,1:17.111,2006.0
Germany,Michael Schumacher,Ferrari,1:16.357,2006.0
Hungary,Felipe Massa,Ferrari,1:23.516,2006.0
Turkey,Michael Schumacher,Ferrari,1:28.005,2006.0
Italy,Kimi Rдikkцnen,McLaren Mercedes,1:22.559,2006.0
China,Fernando Alonso,Renault,1:37.586,2006.0
Japan,Fernando Alonso,Renault,1:32.676,2006.0
Brazil,Michael Schumacher,Ferrari,1:12.162,2006.0
Australia,Kimi Rдikkцnen,Ferrari,1:25.235,2007.0
Malaysia,Lewis Hamilton,McLaren Mercedes,1:36.701,2007.0
Bahrain,Felipe Massa,Ferrari,1:34.067,2007.0
Spain,Felipe Massa,Ferrari,1:22.680,2007.0
Monaco,Fernando Alonso,McLaren Mercedes,1:15.284,2007.0
Canada,Fernando Alonso,McLaren Mercedes,1:16.367,2007.0
United States,Kimi Rдikkцnen,Ferrari,1:13.117,2007.0
France,Felipe Massa,Ferrari,1:16.099,2007.0
Great Britain,Kimi Rдikkцnen,Ferrari,1:20.638,2007.0
Europe,Felipe Massa,Ferrari,1:32.853,2007.0
Hungary,Kimi Rдikkцnen,Ferrari,1:20.047,2007.0
Turkey,Kimi Rдikkцnen,Ferrari,1:27.295,2007.0
Italy,Fernando Alonso,McLaren Mercedes,1:22.871,2007.0
Belgium,Felipe Massa,Ferrari,1:48.036,2007.0
Japan,Lewis Hamilton,McLaren Mercedes,1:28.193,2007.0
China,Felipe Massa,Ferrari,1:37.454,2007.0
Brazil,Kimi Rдikkцnen,Ferrari,1:12.445,2007.0
Australia,Heikki Kovalainen,McLaren Mercedes,1:27.418,2008.0
Malaysia,Nick Heidfeld,Sauber BMW,1:35.366,2008.0
Bahrain,Heikki Kovalainen,McLaren Mercedes,1:33.193,2008.0
Spain,Kimi Rдikkцnen,Ferrari,1:21.670,2008.0
Turkey,Kimi Rдikkцnen,Ferrari,1:26.506,2008.0
Monaco,Kimi Rдikkцnen,Ferrari,1:16.689,2008.0
Canada,Kimi Rдikkцnen,Ferrari,1:17.387,2008.0
France,Kimi Rдikkцnen,Ferrari,1:16.630,2008.0
Great Britain,Kimi Rдikkцnen,Ferrari,1:32.150,2008.0
Germany,Nick Heidfeld,Sauber BMW,1:15.987,2008.0
Hungary,Kimi Rдikkцnen,Ferrari,1:21.195,2008.0
Europe,Felipe Massa,Ferrari,1:38.708,2008.0
Belgium,Kimi Rдikkцnen,Ferrari,1:47.930,2008.0
Italy,Kimi Rдikkцnen,Ferrari,1:28.047,2008.0
Singapore,Kimi Rдikkцnen,Ferrari,1:45.599,2008.0
Japan,Felipe Massa,Ferrari,1:18.426,2008.0
China,Lewis Hamilton,McLaren Mercedes,1:36.325,2008.0
Brazil,Felipe Massa,Ferrari,1:13.736,2008.0
Australia,Nico Rosberg,Williams Toyota,1:27.706,2009.0
Malaysia,Jenson Button,Brawn Mercedes,1:36.641,2009.0
China,Rubens Barrichello,Brawn Mercedes,1:52.592,2009.0
Bahrain,Jarno Trulli,Toyota,1:34.556,2009.0
Spain,Rubens Barrichello,Brawn Mercedes,1:22.762,2009.0
Monaco,Felipe Massa,Ferrari,1:15.154,2009.0
Turkey,Jenson Button,Brawn Mercedes,1:27.579,2009.0
Great Britain,Sebastian Vettel,RBR Renault,1:20.735,2009.0
Germany,Fernando Alonso,Renault,1:33.365,2009.0
Hungary,Mark Webber,RBR Renault,1:21.931,2009.0
Europe,Timo Glock,Toyota,1:38.683,2009.0
Belgium,Sebastian Vettel,RBR Renault,1:47.263,2009.0
Italy,Adrian Sutil,Force India Mercedes,1:24.739,2009.0
Singapore,Fernando Alonso,Renault,1:48.240,2009.0
Japan,Mark Webber,RBR Renault,1:32.569,2009.0
Brazil,Mark Webber,RBR Renault,1:13.733,2009.0
Abu Dhabi,Sebastian Vettel,RBR Renault,1:40.279,2009.0
Bahrain,Fernando Alonso,Ferrari,1:58.287,2010.0
Australia,Mark Webber,RBR Renault,1:28.358,2010.0
Malaysia,Mark Webber,RBR Renault,1:37.054,2010.0
China,Lewis Hamilton,McLaren Mercedes,1:42.061,2010.0
Spain,Lewis Hamilton,McLaren Mercedes,1:24.357,2010.0
Monaco,Sebastian Vettel,RBR Renault,1:15.192,2010.0
Turkey,Vitaly Petrov,Renault,1:29.165,2010.0
Canada,Robert Kubica,Renault,1:16.972,2010.0
Europe,Jenson Button,McLaren Mercedes,1:38.766,2010.0
Great Britain,Fernando Alonso,Ferrari,1:30.874,2010.0
Germany,Sebastian Vettel,RBR Renault,1:15.824,2010.0
Hungary,Sebastian Vettel,RBR Renault,1:22.362,2010.0
Belgium,Lewis Hamilton,McLaren Mercedes,1:49.069,2010.0
Italy,Fernando Alonso,Ferrari,1:24.139,2010.0
Singapore,Fernando Alonso,Ferrari,1:47.976,2010.0
Japan,Mark Webber,RBR Renault,1:33.474,2010.0
South Korea,Fernando Alonso,Ferrari,1:50.257,2010.0
Brazil,Lewis Hamilton,McLaren Mercedes,1:13.851,2010.0
Abu Dhabi,Lewis Hamilton,McLaren Mercedes,1:41.274,2010.0
Australia,Felipe Massa,Ferrari,1:28.947,2011.0
Malaysia,Mark Webber,Red Bull Racing Renault,1:40.571,2011.0
China,Mark Webber,Red Bull Racing Renault,1:38.993,2011.0
Turkey,Mark Webber,Red Bull Racing Renault,1:29.703,2011.0
Spain,Lewis Hamilton,McLaren Mercedes,1:26.727,2011.0
Monaco,Mark Webber,Red Bull Racing Renault,1:16.234,2011.0
Canada,Jenson Button,McLaren Mercedes,1:16.956,2011.0
Europe,Sebastian Vettel,Red Bull Racing Renault,1:41.852,2011.0
Great Britain,Fernando Alonso,Ferrari,1:34.908,2011.0
Germany,Lewis Hamilton,McLaren Mercedes,1:34.302,2011.0
Hungary,Felipe Massa,Ferrari,1:23.415,2011.0
Belgium,Mark Webber,Red Bull Racing Renault,1:49.883,2011.0
Italy,Lewis Hamilton,McLaren Mercedes,1:26.187,2011.0
Singapore,Jenson Button,McLaren Mercedes,1:48.454,2011.0
Japan,Jenson Button,McLaren Mercedes,1:36.568,2011.0
South Korea,Sebastian Vettel,Red Bull Racing Renault,1:39.605,2011.0
India,Sebastian Vettel,Red Bull Racing Renault,1:27.249,2011.0
Abu Dhabi,Mark Webber,Red Bull Racing Renault,1:42.612,2011.0
Brazil,Mark Webber,Red Bull Racing Renault,1:15.324,2011.0
Australia,Jenson Button,McLaren Mercedes,1:29.187,2012.0
Malaysia,Kimi Rдikkцnen,Lotus Renault,1:40.722,2012.0
China,Kamui Kobayashi,Sauber Ferrari,1:39.960,2012.0
Bahrain,Sebastian Vettel,Red Bull Racing Renault,1:36.379,2012.0
Spain,Romain Grosjean,Lotus Renault,1:26.250,2012.0
Monaco,Sergio Perez,Sauber Ferrari,1:17.296,2012.0
Canada,Sebastian Vettel,Red Bull Racing Renault,1:15.752,2012.0
Europe,Nico Rosberg,Mercedes,1:42.163,2012.0
Great Britain,Kimi Rдikkцnen,Lotus Renault,1:34.661,2012.0
Germany,Michael Schumacher,Mercedes,1:18.725,2012.0
Hungary,Sebastian Vettel,Red Bull Racing Renault,1:24.136,2012.0
Belgium,Bruno Senna,Williams Renault,1:52.822,2012.0
