Grand Prix,Driver,Car,Time,year
France,Phil Hill,Ferrari,2:27.100,1961.0
Great Britain,Tony Brooks,BRM Climax,1:57.800,1961.0
Germany,Phil Hill,Ferrari,8:57.800,1961.0
Italy,Giancarlo Baghetti,Ferrari,2:48.400,1961.0
United States,Jack Brabham,Cooper Climax,1:18.200,1961.0
Netherlands,Bruce McLaren,Cooper Climax,1:34.400,1962.0
Monaco,Jim Clark,Lotus Climax,1:35.500,1962.0
Belgium,Jim Clark,Lotus Climax,3:55.600,1962.0
France,Graham Hill,BRM,2:16.900,1962.0
Great Britain,Jim Clark,Lotus Climax,1:55.000,1962.0
Germany,Graham Hill,BRM,10:12.200,1962.0
Italy,Graham Hill,BRM,1:42.300,1962.0
United States,Jim Clark,Lotus Climax,1:15.000,1962.0
South Africa,Jim Clark,Lotus Climax,1:31.000,1962.0
Monaco,John Surtees,Ferrari,1:34.500,1963.0
Belgium,Jim Clark,Lotus Climax,3:58.100,1963.0
Netherlands,Jim Clark,Lotus Climax,1:33.700,1963.0
France,Jim Clark,Lotus Climax,2:21.600,1963.0
Great Britain,John Surtees,Ferrari,1:36.000,1963.0
Germany,John Surtees,Ferrari,8:47.000,1963.0
Italy,Jim Clark,Lotus Climax,1:38.900,1963.0
United States,Jim Clark,Lotus Climax,1:14.500,1963.0
Mexico,Jim Clark,Lotus Climax,1:58.100,1963.0
South Africa,Dan Gurney,Brabham Climax,1:29.100,1963.0
Monaco,Graham Hill,BRM,1:33.900,1964.0
Netherlands,Jim Clark,Lotus Climax,1:32.800,1964.0
Belgium,Dan Gurney,Brabham Ford,3:49.200,1964.0
France,Jack Brabham,Brabham Ford,2:11.400,1964.0
Great Britain,Jim Clark,Lotus Climax,1:38.800,1964.0
Germany,John Surtees,Ferrari,8:39.000,1964.0
Austria,Dan Gurney,Brabham Ford,1:10.560,1964.0
Italy,John Surtees,Ferrari,1:38.800,1964.0
United States,Jim Clark,Lotus Climax,1:12.700,1964.0
Mexico,Jim Clark,Lotus Climax,1:58.370,1964.0
South Africa,Jim Clark,Lotus Climax,1:27.600,1965.0
Monaco,Graham Hill,BRM,1:31.700,1965.0
Belgium,Jim Clark,Lotus Climax,4:12.900,1965.0
France,Jim Clark,Lotus Climax,3:18.900,1965.0
Great Britain,Graham Hill,BRM,1:32.200,1965.0
Netherlands,Jim Clark,Lotus Climax,1:30.600,1965.0
Germany,Jim Clark,Lotus Climax,8:24.100,1965.0
Italy,Jim Clark,Lotus Climax,1:36.400,1965.0
United States,Graham Hill,BRM,1:11.900,1965.0
Mexico,Dan Gurney,Brabham Climax,1:55.840,1965.0
Monaco,Lorenzo Bandini,Ferrari,1:29.800,1966.0
Belgium,John Surtees,Ferrari,4:18.700,1966.0
France,Lorenzo Bandini,Ferrari,2:11.300,1966.0
Great Britain,Jack Brabham,Brabham Climax,1:37.000,1966.0
Netherlands,Denny Hulme,Brabham Climax,1:30.600,1966.0
Germany,John Surtees,Cooper Maserati,8:49.000,1966.0
Italy,Ludovico Scarfiotti,Ferrari,1:32.400,1966.0
United States,John Surtees,Cooper Maserati,1:09.670,1966.0
Mexico,Richie Ginther,Honda,1:53.750,1966.0
South Africa,Denny Hulme,Brabham Repco,1:29.900,1967.0
Monaco,Jim Clark,Lotus Climax,1:29.500,1967.0
Netherlands,Jim Clark,Lotus Climax,1:28.080,1967.0
Belgium,Dan Gurney,Eagle Climax,3:31.900,1967.0
France,Graham Hill,Lotus Climax,1:36.700,1967.0
Great Britain,Denny Hulme,Brabham Repco,1:27.000,1967.0
Germany,Dan Gurney,Eagle Climax,8:15.100,1967.0
Canada,Jim Clark,Lotus Climax,1:23.100,1967.0
Italy,Jim Clark,Lotus Climax,1:28.500,1967.0
United States,Graham Hill,Lotus Climax,1:06.000,1967.0
Mexico,Jim Clark,Lotus Climax,1:48.130,1967.0
South Africa,Jim Clark,Lotus Ford,1:23.700,1968.0
Spain,Jean-Pierre Beltoise,Matra Ford,1:28.300,1968.0
Monaco,Richard Attwood,BRM,1:28.100,1968.0
Belgium,John Surtees,Honda,3:30.500,1968.0
Netherlands,Jean-Pierre Beltoise,Matra Ford,1:45.910,1968.0
France,Pedro Rodriguez,BRM,2:11.500,1968.0
Great Britain,Jo Siffert,Lotus Ford,1:29.700,1968.0
Germany,Jackie Stewart,Matra Ford,9:36.000,1968.0
